---,Round,Wave,SpawnerIndices,MonsterType,CountPerSpawnPoint,SpawnInterval,MonstersPerSpawn,SpawnRowSpacingY,WaveEndWaitTime
R1_W1_Normal,"1","1","(0,2,4,6,8,9)","Normal","10","5","1","500","15"
R1_W2_Normal,"1","2","(0,2,4,6,8,9)","Normal","10","6","1","500","0"
R1_W2_Tanker_1,"1","2","(1)","Tanker","5","11","1","300","0"
R1_W2_Tanker_2,"1","2","(3)","Tanker","5","13","1","300","0"
R1_W2_Tanker_3,"1","2","(5)","Tanker","5","15","1","300","15"
R1_W3_Normal,"1","3","(0,2,4,6,8,9)","Normal","12","5","1","500","0"
R1_W3_Tanker_1,"1","3","(1)","Tanker","9","7","1","300","0"
R1_W3_Tanker_2,"1","3","(5)","Tanker","9","8","1","300","15"
R1_W3_Ranged_1,"1","3","(3)","Ranged","8","6","1","300","0"
R1_W3_Ranged_2,"1","3","(7)","Ranged","7","9","1","300","0"
R1_W4_Normal_1,"1","4","(0,2,4,6)","Normal","16","4","1","500","0"
R1_W4_Normal_2,"1","4","(8)","Normal","14","5","1","500","0"
R1_W4_Tanker_1,"1","4","(1)","Tanker","12","6","1","300","0"
R1_W4_Tanker_2,"1","4","(5)","Tanker","12","7","1","300","20"
R1_W4_Ranged_1,"1","4","(3)","Ranged","8","8","1","300","0"
R1_W4_Ranged_2,"1","4","(7)","Ranged","8","9","1","300","0"
R1_W4_Bomb,"1","4","(9)","Bomb","12","5","1","300","0"
R1_W5_Normal_1,"1","5","(0,2)","Normal","18","4","1","500","0"
R1_W5_Normal_2,"1","5","(4,6)","Normal","17","5","1","500","0"
R1_W5_Tanker_1,"1","5","(1)","Tanker","14","5","1","300","0"
R1_W5_Tanker_2,"1","5","(5)","Tanker","14","6","1","300","0"
R1_W5_Ranged_1,"1","5","(3)","Ranged","13","3","1","300","0"
R1_W5_Ranged_2,"1","5","(7)","Ranged","13","7","1","300","20"
R1_W5_Bomb_1,"1","5","(8)","Bomb","8","8","1","300","0"
R1_W5_Bomb_2,"1","5","(9)","Bomb","8","9","1","300","0"
R1_W6_Ranged_1,"1","6","(0)","Ranged","4","18","1","300","0"
R1_W6_Ranged_2,"1","6","(3)","Ranged","4","20","1","300","0"
R1_W6_Ranged_3,"1","6","(6)","Ranged","4","22","1","300","0"
R1_W6_Ranged_4,"1","6","(9)","Ranged","4","24","1","300","0"
